DATE,UNEMP_RATE,TOT_POP,CONS_SENT,UND_CONST,HOM_PRC
01-01-2000,4,280.72,112,991,100.551
01-02-2000,4.1,280.94,111.3,998,101.339
01-03-2000,4,281.16,107.1,988,102.127
01-04-2000,3.8,281.42,109.2,989,102.922
01-05-2000,4,281.64,110.7,985,103.678
01-06-2000,4,281.89,106.4,982,104.424
01-07-2000,4,282.16,108.3,979,105.054
01-08-2000,4.1,282.42,107.3,976,105.768
01-09-2000,3.9,282.69,106.8,970,106.538
01-10-2000,3.9,282.96,105.8,972,107.382
01-11-2000,3.9,283.2,107.6,970,108.302
01-12-2000,3.9,283.44,98.4,969,109.14
01-01-2001,4.2,283.65,94.7,986,109.846
01-02-2001,4.2,283.84,90.6,987,110.5
01-03-2001,4.3,284.05,91.5,1001,111.109
01-04-2001,4.4,284.27,88.4,1007,111.652
01-05-2001,4.3,284.49,92,1015,112.164
01-06-2001,4.5,284.73,92.6,1013,112.796
01-07-2001,4.6,284.97,92.4,1017,113.491
01-08-2001,4.9,285.22,91.5,1011,114.167
01-09-2001,5,285.49,81.8,1014,114.812
01-10-2001,5.3,285.69,82.7,1008,115.31
01-11-2001,5.5,285.92,83.9,1011,115.857
01-12-2001,5.7,286.14,88.8,996,116.455
01-01-2002,5.7,286.34,93,996,117.144
01-02-2002,5.7,286.54,90.7,1005,117.845
01-03-2002,5.7,286.72,95.7,1013,118.687
01-04-2002,5.9,286.93,93,1011,119.611
01-05-2002,5.8,287.15,96.9,1019,120.724
01-06-2002,5.8,287.39,92.4,1023,121.813
01-07-2002,5.8,287.63,88.1,1029,122.888
01-08-2002,5.7,287.87,87.6,1013,123.83
01-09-2002,5.7,288.13,86.1,1024,124.78
01-10-2002,5.7,288.38,80.6,1026,125.735
01-11-2002,5.9,288.61,84.2,1031,126.67
01-12-2002,6,288.8,86.7,1033,127.624
01-01-2003,5.8,289,82.4,1049,128.461
01-02-2003,5.9,289.13,79.9,1044,129.355
01-03-2003,5.9,289.26,77.6,1044,130.148
01-04-2003,6,289.4,86,1043,130.884
01-05-2003,6.1,289.55,92.1,1047,131.735
01-06-2003,6.3,289.72,89.7,1064,132.649
01-07-2003,6.2,289.89,90.9,1078,133.777
01-08-2003,6.1,290.11,89.3,1102,134.969
01-09-2003,6.1,290.39,87.7,1121,136.294
01-10-2003,6,290.66,89.6,1135,137.531
01-11-2003,5.8,290.92,93.7,1158,138.794
01-12-2003,5.7,291.16,92.6,1183,140.179
01-01-2004,5.7,291.36,103.8,1191,141.646
01-02-2004,5.6,291.55,94.4,1197,143.192
01-03-2004,5.8,291.72,95.8,1219,145.059
01-04-2004,5.6,291.89,94.2,1222,146.593
01-05-2004,5.6,292.11,90.2,1233,148.186
01-06-2004,5.6,292.35,95.6,1229,149.85
01-07-2004,5.5,292.57,96.7,1247,151.338
01-08-2004,5.4,292.81,95.9,1238,152.633
01-09-2004,5.4,293.06,94.2,1247,154.179
01-10-2004,5.5,293.31,91.7,1264,155.75
01-11-2004,5.4,293.57,92.8,1268,157.527
01-12-2004,5.4,293.8,97.1,1280,159.33
01-01-2005,5.3,294.02,95.5,1302,161.288
01-02-2005,5.4,294.23,94.1,1322,163.344
01-03-2005,5.2,294.38,92.6,1311,165.812
01-04-2005,5.2,294.56,87.7,1324,167.501
01-05-2005,5.1,294.78,86.9,1322,169.351
01-06-2005,5,295.03,96,1329,171.19
01-07-2005,5,295.26,96.5,1338,172.86
01-08-2005,4.9,295.52,89.1,1356,174.442
01-09-2005,5,295.77,76.9,1377,176.438
01-10-2005,5,296.04,74.2,1376,178.028
01-11-2005,5,296.31,81.6,1395,179.68
01-12-2005,4.9,296.51,91.5,1405,180.91
01-01-2006,4.7,296.76,91.2,1424,182.321
01-02-2006,4.8,297.22,86.7,1423,183.287
01-03-2006,4.7,297.42,88.9,1423,184.364
01-04-2006,4.7,297.65,87.4,1401,184.329
01-05-2006,4.6,297.87,79.1,1409,184.156
01-06-2006,4.6,298.12,84.9,1383,183.507
01-07-2006,4.7,298.38,84.7,1363,183.068
01-08-2006,4.7,298.63,82,1339,182.594
01-09-2006,4.5,298.91,85.4,1317,182.798
01-10-2006,4.4,299.16,93.6,1283,183.198
01-11-2006,4.5,299.4,92.1,1265,183.609
01-12-2006,4.4,299.66,91.7,1247,184.139
01-01-2007,4.6,299.89,96.9,1217,184.517
01-02-2007,4.5,300.1,91.3,1206,184.598
01-03-2007,4.4,300.29,88.4,1192,184.15
01-04-2007,4.5,300.51,87.1,1181,183.01
01-05-2007,4.4,300.73,88.3,1164,181.6
01-06-2007,4.6,300.97,85.3,1161,180.254
01-07-2007,4.7,301.23,90.4,1144,179.111
01-08-2007,4.6,301.5,83.4,1123,178.116
01-09-2007,4.7,301.77,83.4,1108,177.558
01-10-2007,4.7,302.03,80.9,1096,176.624
01-11-2007,4.7,302.29,76.1,1080,175.147
01-12-2007,5,302.53,75.5,1059,174.342
01-01-2008,5,302.75,78.4,1041,173.132
01-02-2008,4.9,302.97,70.8,1025,171.541
01-03-2008,5.1,303.19,69.5,1014,170.053
01-04-2008,5,303.38,62.6,1009,168.338
01-05-2008,5.4,303.62,59.8,991,166.659
01-06-2008,5.6,303.85,56.4,975,165.017
01-07-2008,5.8,304.05,61.2,955,163.566
01-08-2008,6.1,304.28,63,936,161.987
01-09-2008,6.1,304.5,70.3,904,160.308
01-10-2008,6.5,304.61,57.6,876,158.327
01-11-2008,6.8,304.86,55.3,842,156.142
01-12-2008,7.3,305.09,60.1,806,153.619
01-01-2009,7.8,305.3,61.2,783,151.507
01-02-2009,8.3,305.52,56.3,756,150.015
01-03-2009,8.7,305.71,57.3,717,148.66
01-04-2009,9,305.92,65.1,677,147.949
01-05-2009,9.4,306.11,68.7,650,147.694
01-06-2009,9.5,306.32,70.8,627,148.09
01-07-2009,9.5,306.54,66,611,148.41
01-08-2009,9.6,306.77,65.7,588,148.278
01-09-2009,9.8,307.01,73.5,576,148.025
01-10-2009,10,307.27,70.6,554,147.85
01-11-2009,9.9,307.52,67.4,532,148.134
01-12-2009,9.9,307.76,72.5,517,147.929
01-01-2010,9.8,307.95,74.4,501,147.396
01-02-2010,9.8,308.17,73.6,493,145.631
01-03-2010,9.9,308.38,73.6,492,145.859
01-04-2010,9.9,308.57,72.2,488,146.403
01-05-2010,9.6,308.76,73.6,476,146.394
01-06-2010,9.4,308.94,76,447,145.721
01-07-2010,9.4,309.12,67.8,443,144.991
01-08-2010,9.5,309.32,68.9,444,143.916
01-09-2010,9.5,309.54,68.2,439,143.019
01-10-2010,9.4,309.76,67.7,436,142.531
01-11-2010,9.8,309.99,71.6,431,142.173
01-12-2010,9.3,310.17,74.5,427,142.06
01-01-2011,9.1,310.35,74.2,431,141.521
01-02-2011,9,310.54,77.5,424,140.35
01-03-2011,9,310.69,67.5,420,139.981
01-04-2011,9.1,310.83,69.8,417,140.01
01-05-2011,9,311.01,74.3,415,139.905
01-06-2011,9.1,311.18,71.5,416,139.862
01-07-2011,9,311.35,63.7,417,139.73
01-08-2011,9,311.56,55.8,414,139.309
01-09-2011,9,311.76,59.5,417,138.668
01-10-2011,8.8,312,60.8,422,137.952
01-11-2011,8.6,312.21,63.7,433,137.152
01-12-2011,8.5,312.4,69.9,434,136.674
01-01-2012,8.3,312.59,75,441,136.607
01-02-2012,8.3,312.79,75.3,450,136.533
01-03-2012,8.2,312.93,76.2,458,137.904
01-04-2012,8.2,313.11,76.4,463,139.154
01-05-2012,8.2,313.28,79.3,474,140.155
01-06-2012,8.2,313.45,73.2,486,141.03
01-07-2012,8.2,313.63,72.3,490,141.669
01-08-2012,8.1,313.83,74.3,495,142.279
01-09-2012,7.8,314.05,78.3,511,142.908
01-10-2012,7.8,314.28,82.6,520,143.6
01-11-2012,7.7,314.5,82.7,534,144.585
01-12-2012,7.9,314.7,72.9,551,145.503
01-01-2013,8,314.87,73.8,559,146.827
01-02-2013,7.7,315.04,77.6,581,147.784
01-03-2013,7.5,315.16,78.6,596,149.963
01-04-2013,7.6,315.3,76.4,606,151.519
01-05-2013,7.5,315.46,84.5,620,152.85
01-06-2013,7.5,315.61,84.1,629,154.2
01-07-2013,7.3,315.81,85.1,640,155.604
01-08-2013,7.2,315.99,82.1,654,156.965
01-09-2013,7.2,316.2,77.5,661,158.227
01-10-2013,7.2,316.43,73.2,670,159.242
01-11-2013,6.9,316.66,75.1,687,160.074
01-12-2013,6.7,316.88,82.5,707,160.994
01-01-2014,6.6,317.06,81.2,713,161.927
01-02-2014,6.7,317.24,81.6,714,162.525
01-03-2014,6.7,317.41,80,726,163.086
01-04-2014,6.2,317.56,84.1,743,163.393
01-05-2014,6.3,317.73,81.9,754,163.66
01-06-2014,6.1,317.91,82.5,771,164.064
01-07-2014,6.2,318.11,81.8,790,164.579
01-08-2014,6.1,318.3,82.5,793,165.215
01-09-2014,5.9,318.54,84.6,797,165.905
01-10-2014,5.7,318.77,86.9,806,166.641
01-11-2014,5.8,319.01,88.8,814,167.335
01-12-2014,5.6,319.22,93.6,826,168.051
01-01-2015,5.7,319.41,98.1,830,168.634
01-02-2015,5.5,319.59,95.4,830,169.129
01-03-2015,5.4,319.73,93,843,169.799
01-04-2015,5.4,319.89,95.9,868,170.298
01-05-2015,5.6,320.06,90.7,878,170.88
01-06-2015,5.3,320.24,96.1,896,171.471
01-07-2015,5.2,320.43,93.1,908,172.133
01-08-2015,5.1,320.64,91.9,921,172.936
01-09-2015,5,320.86,87.2,939,173.828
01-10-2015,5,321.08,90,943,174.792
